Rank,Score,Firm Name,Website,AUM ($M),Fund Types,# Funds,City,State,Country,CRD#,SEC#,Key Signals
134,54,HASHDEX ASSET MANAGEMENT LTD,http://www.twitter.com/hashdex,605.1,Hedge(1),1,RIO DE JANEIRO,,Brazil,298750,802-114633,hedge_fund_pure_equity_signal; aum_500m+; concentrated_few_funds; name_strategy:asset management; clean_regulatory
135,54,GALENA ASSET MANAGEMENT SA,HTTPS://WWW.LINKEDIN.COM/COMPANY/2848389/,787.0,"Hedge(4), PE(6)",10,GENEVA,,Switzerland,171782,802-80120,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_500m+; name_strategy:asset management; clean_regulatory
136,54,"ADMIRAL CAPITAL PARTNERS, LLC",https://www.admirallp.com,122.0,Hedge(1),1,,,,286422,802-114828,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:capital partners; name_strategy:partners
137,54,SHIPROCK CAPITAL MANAGEMENT LIMITED,https://shiprock.co.uk/,796.8,Hedge(1),1,LONDON,,United Kingdom,330086,802-130365,hedge_fund_pure_equity_signal; aum_500m+; concentrated_few_funds; name_strategy:capital management; clean_regulatory
138,54,DOVETAIL INVESTMENT MANAGEMENT,https://dovetail.mu/,790.6,Hedge(3),3,"TRIBECA CENTRAL, TRIANON",,Mauritius,333994,802-132261,hedge_fund_pure_equity_signal; aum_500m+; concentrated_few_funds; name_strategy:investment management; clean_regulatory
139,54,PERBAK CAPITAL PARTNERS LLP,https://www.pcap.info,413.1,Hedge(1),1,LONDON,,United Kingdom,326702,802-128060,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:capital partners; name_strategy:partners
140,54,HILL FORT CAPITAL PARTNERS LTD,https://www.linkedin.com/company/hillfortcapital,378.5,Hedge(1),1,"CYBERCITY, EBENE",,Mauritius,304499,802-116879,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:capital partners; name_strategy:partners
141,54,WORKING CAPITAL ADVISORS (UK) LTD.,HTTP://WWW.WORKING-CAP.COM,960.2,Hedge(2),2,LONDON,,United Kingdom,285894,802-108696,hedge_fund_pure_equity_signal; aum_500m+; concentrated_few_funds; name_strategy:advisors; clean_regulatory
142,54,MARYLEBONE PARTNERS LLP,HTTP://WWW.MARYLEBONEPARTNERS.COM,608.3,"Hedge(1), Other(3)",4,LONDON,,United Kingdom,168426,802-79805,hedge_fund_pure_equity_signal; other_fund_type; aum_500m+; moderate_fund_count; name_strategy:partners
143,54,SELWOOD ASSET MANAGEMENT LLP,HTTP://WWW.SELWOODAM.COM,807.9,Hedge(1),1,LONDON,,United Kingdom,285761,802-108839,hedge_fund_pure_equity_signal; aum_500m+; concentrated_few_funds; name_strategy:asset management; clean_regulatory
144,54,INFINI CAPITAL MANAGEMENT LIMITED,https://www.linkedin.com/company/infini-capital-management-limited/about/,897.0,Hedge(1),1,CENTRAL,,Hong Kong,302067,802-116662,hedge_fund_pure_equity_signal; aum_500m+; concentrated_few_funds; name_strategy:capital management; clean_regulatory
145,54,PROMERITUM INVESTMENT MANAGEMENT LLP,HTTP://WWW.PROMERITUMGROUP.COM,527.1,Hedge(2),2,LONDON,,United Kingdom,284730,802-108270,hedge_fund_pure_equity_signal; aum_500m+; concentrated_few_funds; name_strategy:investment management; clean_regulatory
146,54,HEL VED CAPITAL MANAGEMENT LIMITED,https://www.helvedcapital.com,568.6,Hedge(2),2,HONG KONG,,Hong Kong,306323,802-118665,hedge_fund_pure_equity_signal; aum_500m+; concentrated_few_funds; name_strategy:capital management; clean_regulatory
